,year,region_name,list_price,sale_price,list_divided_by_sale,list_minus_sale
0,2017,"Bakersfield, CA",261989.55555555556,230264.11111111112,87.90163555860232,31725.444444444445
1,2017,"Fresno, CA",340529.22222222225,268083.3333333333,78.72895616354704,72445.88888888889
2,2017,"Los Angeles-Long Beach-Anaheim, CA",816180.8888888889,616639.1111111111,75.55135928502443,199541.77777777778
3,2017,"Riverside, CA",389225.1111111111,350541.6666666667,90.06028620744284,38683.444444444445
4,2017,"Sacramento, CA",467075.0,391028.0,83.71863817131614,76047.0
5,2017,"San Diego, CA",727886.4444444445,553173.8888888889,75.99904920230803,174712.55555555556
6,2017,"San Francisco, CA",837240.6666666666,778667.0,93.01715915017017,58573.666666666664
7,2017,"San Jose, CA",1093434.6666666667,992319.6666666666,90.76687178080635,101115.0
8,2017,"Stockton, CA",407033.8888888889,368779.22222222225,90.60353147478092,38254.666666666664
9,2017,"Ventura, CA",771527.4444444445,592111.4444444445,76.75336783553736,179416.0
10,2018,"Bakersfield, CA",270267.5,233165.48076923078,86.32712913865,37102.019230769234
11,2018,"Fresno, CA",341919.73076923075,271419.6153846154,79.39706676156958,70500.11538461539
12,2018,"Los Angeles-Long Beach-Anaheim, CA",828877.2692307692,639272.9423076923,77.23146340280759,189604.32692307694
13,2018,"Riverside, CA",401539.48076923075,367221.53846153844,91.46451073990114,34317.942307692305
14,2018,"Sacramento, CA",481612.42307692306,402805.42307692306,83.68915363531784,78807.0
15,2018,"San Diego, CA",746044.1346153846,577809.2692307692,77.58907332128966,168234.86538461538
16,2018,"San Francisco, CA",886341.9807692308,805574.3269230769,90.97559357248844,80767.65384615384
17,2018,"San Jose, CA",1193535.1538461538,1088362.3076923077,91.32472724952717,105172.84615384616
18,2018,"Stockton, CA",414231.51923076925,383504.1346153846,92.61007259919225,30727.384615384617
19,2018,"Ventura, CA",732073.0384615385,595329.0961538461,81.57716563108215,136743.9423076923
20,2019,"Bakersfield, CA",268875.8461538461,245443.65384615384,91.3165723231965,23432.19230769231
21,2019,"Fresno, CA",354568.5576923077,284360.9423076923,80.31807172283563,70207.61538461539
22,2019,"Los Angeles-Long Beach-Anaheim, CA",837043.8653846154,651711.2884615385,77.95905012703957,185332.57692307694
23,2019,"Riverside, CA",413119.48076923075,375859.07692307694,91.0007735703463,37260.403846153844
24,2019,"Sacramento, CA",508991.1346153846,416843.28846153844,81.92784404822046,92147.84615384616
25,2019,"San Diego, CA",757258.2307692308,586204.5384615385,77.4666288662028,171053.6923076923
26,2019,"San Francisco, CA",892768.7884615385,809402.3846153846,90.68716416158259,83366.40384615384
27,2019,"San Jose, CA",1133969.7307692308,1038226.1153846154,91.57349822072311,95743.61538461539
28,2019,"Stockton, CA",449113.92307692306,399785.0,89.35268435932048,49328.92307692308
29,2019,"Ventura, CA",731901.1730769231,593860.25,81.27198452946436,138040.92307692306
30,2020,"Bakersfield, CA",286647.5576923077,263778.96153846156,92.09006204774813,22868.596153846152
31,2020,"Fresno, CA",383389.67307692306,303752.03846153844,79.26401910630585,79637.63461538461
32,2020,"Los Angeles-Long Beach-Anaheim, CA",945189.4230769231,699871.1538461539,74.06801343548291,245318.26923076922
33,2020,"Riverside, CA",450547.96153846156,405667.46153846156,90.15203011593918,44880.5
34,2020,"Sacramento, CA",554701.5,448962.9038461539,80.95694980441279,105738.59615384616
35,2020,"San Diego, CA",825143.0,626003.6923076923,75.90983559964,199139.3076923077
36,2020,"San Francisco, CA",976343.6923076923,852390.1923076923,87.33078979232263,123953.5
37,2020,"San Jose, CA",1243540.4038461538,1107973.5576923077,89.12663906483849,135566.84615384616
38,2020,"Stockton, CA",486582.6923076923,426129.8461538461,87.70811932484247,60452.846153846156
39,2020,"Ventura, CA",821456.6153846154,641743.9807692308,78.10907801794929,179712.63461538462
40,2021,"Bakersfield, CA",291413.3333333333,283461.28571428574,97.29320929395696,7952.047619047619
41,2021,"Fresno, CA",400479.28571428574,326071.61904761905,81.45446528433173,74407.66666666667
42,2021,"Los Angeles-Long Beach-Anaheim, CA",1007162.4761904762,766041.8571428572,76.05353979077775,241120.61904761905
43,2021,"Riverside, CA",504619.5238095238,455345.4285714286,90.23445235981947,49274.09523809524
44,2021,"Sacramento, CA",604353.4761904762,492824.61904761905,81.5786409658948,111528.85714285714
45,2021,"San Diego, CA",853169.2380952381,692153.2380952381,81.11668016827277,161016.0
46,2021,"San Francisco, CA",987248.8095238095,946471.619047619,95.83912582431205,40777.19047619047
47,2021,"San Jose, CA",1255840.3333333333,1216654.9523809524,96.8359108428954,39185.380952380954
48,2021,"Stockton, CA",482160.61904761905,450416.7619047619,93.42987577203682,31743.85714285714
49,2021,"Ventura, CA",865272.0,669500.0,77.37451344779444,195772.0
