1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,-26713.5
,,,,,,,,,,35965.8125,-31586.662499999977
,,,,,,,,,3598.5,34704.52500000002,-33652.875
,,,,,,,,9878.5625,-2317.5374999999767,20445.4375,-25286.724999999977
,,,,,,,-27720.5625,6109.462500000023,-7028.8125,17369.462500000023,-28163.275000000023
,,,,,,-35154.0625,-32932.66249999998,1194.5,-8318.162499999977,24744.349999999977,-60258.34722222225
,,,,,14044.4375,6228.150000000023,4621.3125,42946.58750000002,18191.412499999977,12431.215277777752,-32332.875
,,,,2557.1875,31537.837500000023,17842.9375,10744.275000000023,19699.537499999977,21626.152777777752,27663.125,-14080.604166666628
,,,50551.25,25747.775000000023,49474.625,37462.58750000002,34598.03749999998,18330.965277777752,38527.5,45808.45833333337,795.5208333333721
,,-20378.3125,13434.462500000023,-28143.75,-12976.537499999977,-35965.08750000002,-59523.59722222225,-33399.875,-37490.85416666663,-19307.979166666628,-60125.47916666663
,5234.5625,-24605.099999999977,8689.1875,-32030.662499999977,-16486.087500000023,-57143.53472222225,-65839.75,-38931.54166666663,-44189.35416666663,-23156.104166666628,-63795.77083333337
-43150.1875,-30786.724999999977,-58832.1875,15250.900000000023,-37224.40000000002,-75703.28472222225,-66003.5625,-55519.97916666663,-31751.479166666628,-37502.54166666663,-54482.83333333337,-40756.486111111124
-44306.59999999998,-31589.75,-58733.28749999998,15852.287499999977,-53731.78472222225,-77801.75,-67499.66666666663,-58068.72916666663,-31746.604166666628,-37346.95833333337,-53286.861111111124,-38950.993055555504
-47917.5,-33758.66249999998,-60593.90000000002,-3263.472222222248,-58507.625,-82064.29166666663,-72829.97916666663,-60458.04166666663,-33775.02083333337,-38853.923611111124,-54344.680555555504,-39361.256944444496
-49200.66249999998,-34714.21250000002,-79040.47222222225,-6671.5,-61934.85416666663,-86376.60416666663,-74380.66666666663,-61754.14583333337,-34227.236111111124,-38995.555555555504,-54086.194444444496,-40327.65277777775
-49589.08750000002,-52610.72222222225,-82040.1875,-9202.979166666628,-65725.79166666663,-87283.16666666663,-75157.77083333337,-61744.111111111124,-33682.243055555504,-38149.569444444496,-54644.21527777775,-41197.611111111124
-67234.65972222225,-55397.1875,-84426.29166666663,-12532.854166666628,-66430.10416666663,-87757.33333333337,-74958.61111111112,-61051.368055555504,-32513.506944444496,-38444.90277777775,-55367.361111111124,-42104.3125
-70048.75,-65077.10416666663,-93146.79166666663,-20067.291666666628,-84091.89583333337,-97621.92361111112,-84840.2430555555,-65743.4444444445,-44803.65277777775,-50960.736111111124,-58296.8125,-49702.72222222225
-72127.66666666663,-68097.16666666663,-93318.72916666663,-20072.270833333372,-83557.79861111112,-96601.2430555555,-83382.6319444445,-65715.96527777775,-45110.986111111124,-51578.4375,-56060.15972222225,-46911.90972222225
-74099.29166666663,-59900.10416666663,-86829.14583333337,-11193.048611111124,-64697.118055555504,-83860.8194444445,-71850.27777777775,-59254.423611111124,-32865.4375,-36884.97222222225,-50292.15972222225,-32982.506944444496
-102753.29166666663,-84081.08333333337,-111585.86111111112,-46550.555555555504,-111350.3194444445,-119350.96527777775,-106224.17361111112,-80745.75,-53924.47222222225,-68878.90972222225,-54043.819444444496,-65794.02777777775
-101955.39583333337,-82547.42361111112,-109525.8055555555,-44122.756944444496,-110282.21527777775,-118811.11111111112,-105895.25,-77534.03472222225,-50224.78472222225,-64805.381944444496,-50209.27777777775,-63112.39583333337
-100338.42361111112,-80385.3680555555,-107055.0069444445,-43199.02777777775,-109518.86111111112,-118391.6875,-102623.53472222225,-73803.03472222225,-46154.069444444496,-60932.77777777775,-47498.70833333337,-60743.493055555504
-98368.8055555555,-77920.5069444445,-106063.90277777775,-42766.673611111124,-109104.6875,-115172.22222222225,-98985.28472222225,-69769.8194444445,-42310.52777777775,-58269.64583333337,-45438.805555555504,-57733.0
-67265.0069444445,-59712.90277777775,-85030.61111111112,-12820.25,-74113.53472222225,-85787.59722222225,-70905.8819444445,-50271.90277777775,-27509.208333333372,-32491.930555555504,-37214.75,-29528.222222222248
-65805.96527777775,-58674.798611111124,-84190.125,-9143.347222222248,-69948.03472222225,-81313.5069444445,-66653.96527777775,-47108.70833333337,-24874.055555555504,-29195.625,-35166.22222222225,
-64878.611111111124,-58119.25,-80721.03472222225,-5187.284722222248,-65677.3819444445,-77174.77777777775,-63727.64583333337,-44773.055555555504,-21778.75,-27301.972222222248,,
-63975.1875,-54219.78472222225,-76441.22222222225,-614.1944444444962,-61127.90277777775,-73776.95833333337,-60939.430555555504,-41216.3125,-19488.784722222248,,,
-59504.40972222225,-49527.72222222225,-71184.3194444445,4400.534722222248,-57295.33333333337,-70428.8680555555,-56894.6875,-38443.22222222225,,,,
-55097.53472222225,-44819.944444444496,-66662.27777777775,7744.854166666628,-54438.055555555504,-66822.0625,-54539.34722222225,,,,,
-50111.256944444496,-32954.77777777775,-57749.58333333337,17766.694444444496,-34237.8125,-54254.40972222225,,,,,,
-45749.02777777775,-29822.520833333372,-55140.680555555504,21036.875,-32093.534722222248,,,,,,,
-42375.95833333337,-27219.180555555504,-51673.75,23054.215277777752,,,,,,,,
-39702.993055555504,-23987.5,-49593.28472222225,,,,,,,,,
-35801.125,-21550.409722222248,,,,,,,,,,
-32474.347222222248,,,,,,,,,,,
